program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
Los Tonys Mexican Restaurant,Adams,10202 E Montview Blvd,7,11,18,38
Los Toritos Restaurant 2,Arapahoe,9405 E Colfax Ave,7,3,10,46
Lost Cajun Restaurant,Adams,3013 W 104th Ave,2,4,6,50
Lost Cajun The,Arapahoe,5350 S Santa Fe Dr Unit F,4,7,11,45
Lost Cajun The,Arapahoe,6105 S Main St Ste F-104,7,6,13,43
Lost Coffee,Adams,2100 N Ursula St Unit 30,2,1,3,53
Lost Coffee,Douglas,390 Perry St,2,5,7,49
Lotus Chinese Kitchen,Adams,1261 W 84th Ave,6,9,15,41
Lotus School For Excellence,Arapahoe,11001 E Alameda Ave Ste A,0,0,0,56
Louis Diner,Arapahoe,1500 W Littleton Blvd Unit 100,11,11,22,34
Loves Shack,Adams,7290 Pecos St,2,3,5,51
Loves Travel Stop Country Store,Adams,1191 S 1st St,4,3,7,49
Lowell Mart,Adams,6855 Lowell Blvd,1,1,2,54
Lowes 117,Adams,7305 Pecos St,3,7,10,46
Lowes Mercado,Adams,10777 E Colfax Ave,10,7,17,39
Loyal Order of Moose Lodge 2166,Adams,11449 York St,4,2,6,50
LuBos N Y Pizza,Arapahoe,15352 E Ida Dr,0,2,2,54
Luceros Tavern,Adams,10339 N Federal Blvd # 300,1,5,6,50
Luceros and Sons Inc,Adams,5201 Pecos St,2,5,7,49
Luciles,Arapahoe,2852 W Bowles Ave,3,4,7,49
Lucky Express,Adams,11970 Washington St,2,2,4,52
Lucky Lanes,Adams,1850 E Bridge St,4,4,8,48
Lulus Inn,Adams,33355 E Highway 36,6,11,17,39
Lunch Wired,Arapahoe,12201 E Arapahoe Rd Unit C3,2,3,5,51
Lyn Knoll Elementary,Arapahoe,12445 E 2nd Ave,0,0,0,56
M Mart,Arapahoe,2000 S Havana St,2,3,5,51
M Meat Mart,Arapahoe,2000 S Havana St # F,3,2,5,51
M and J Restaurant (2),Arapahoe,26000 E Quincy Ave,5,9,14,42
MAC,Adams,3295 W 72nd Ave,0,1,1,55
MC Gas and Food,Arapahoe,1305 S Zante St,3,3,6,50
MEC Mesa School,Adams,8980 York St,0,1,1,55
MS Sushi - King Soopers,Arapahoe,6000 S Holly St,0,0,0,56
Maandeeq Restaurant and Cafe,Arapahoe,1535 S Havana St,5,5,10,46
Mad Greens,Adams,1181 W 120th Ave,2,6,8,48
Mad Greens,Arapahoe,7300 E Arapahoe Rd,1,1,2,54
Mad Greens,Arapahoe,8283 S Akron St Ste 130,4,8,12,44
Mad Greens,Douglas,10002 Commons St Ste E2,2,6,8,48
Mad Greens,Douglas,1525 Park Central Dr Ste 100E,0,1,1,55
Mad Greens,Douglas,4991 Factory Shops Blvd Ste 100,2,3,5,51
Mad Greens 119,Arapahoe,23973 E Prospect Ave,1,4,5,51
Mad Greens 120,Douglas,8401 Park Meadows Center Dr Unit DH-8,1,8,9,47
Mad Greens 7,Arapahoe,4948 S Yosemite St Unit B,1,2,3,53
Madinah Inc,Arapahoe,3126 S Parker Rd,3,2,5,51
Madrid Event Center,Adams,6495 Monaco St,4,3,7,49
Maggianos Little Italy,Arapahoe,7401 S Clinton St,2,8,10,46
Main Event Entertainment LP,Douglas,64 Centennial Blvd,4,1,5,51
Main Street Cafe,Adams,161 N Main St,8,7,15,41
Mairik Adult Day Care,Arapahoe,7255 S Havana St Unit 130,2,4,6,50
Majestic Sports Bar and Restaurant,Arapahoe,3140 S Parker Rd Ste 1,6,6,12,44
Makizushico,Arapahoe,5950 S Platte Canyon Rd Unit D23,2,0,2,54
Makola African Market,Adams,2020 Clinton St Ste B,3,2,5,51
Malley Elementary,Adams,1300 Malley Dr,0,1,1,55
Mama Alvinos Pizzeria,Adams,15179 E Colfax Ave Unit A,5,8,13,43
Mama Louise Italian Restaurant,Arapahoe,15412 E Orchard Rd,2,5,7,49
Mama Mias,Arapahoe,3531 S Logan St Unit G,7,5,12,44
Mama Olivias,Arapahoe,477 Sable Blvd,1,3,4,52
Mama Roma Pasta and Pizza,Arapahoe,8100 S Quebec St Unit B16,6,4,10,46
Mama Sol Cocina,Arapahoe,6439 S Broadway Unit B,4,2,6,50
Mamas Cafe,Adams,6025 E Parkway Dr Ste 160,9,7,16,40
Mambo Cafe Inc,Adams,790 W 84th Ave,2,5,7,49
Mammoth Heights/ Elementary,Douglas,9500 Stonegate Pkwy,0,1,1,55
Mangia Bevi,Arapahoe,6363 S Fiddlers Green Cir,2,0,2,54
Manheim Cafe,Arapahoe,17500 E 32nd Ave,6,11,17,39
Manna Bakery and Deli,Arapahoe,6905 S Broadway Unit 61,3,1,4,52
Manna Best,Arapahoe,11000 E Yale Ave Ste 226,7,3,10,46
Mapleton Global Leadership Academy 912,Adams,7480 N Broadway Bldg 2,0,0,0,56
Marcos Coal Fired Pizza,Arapahoe,10111 Inverness Main St Ste J,7,8,15,41
Marcos Pizza,Adams,12899 Quebec St,4,4,8,48
Marcos Pizza,Adams,14663 Orchard Pkwy Ste 100,5,4,9,47
Marcos Pizza,Arapahoe,21699 E Quincy Ave Unit G,1,3,4,52
Marcos Pizza 6014,Arapahoe,24300 E Smoky Hill Rd 114,2,3,5,51
Maria Empanada,Arapahoe,8000 E Belleview Ave Unit B30,1,0,1,55
Maria Empanada at the Stanley Marketplace,Arapahoe,2501 N Dallas St,2,1,3,53
Maries Dulceria and Sweets,Adams,3901 E 112th Ave Unit A,6,7,13,43
Mariscos El Pelicano,Adams,15355 E Colfax Ave Unit E2,6,14,20,36
Mariscos El Rey,Arapahoe,820 Dayton St,9,5,14,42
Mariscos El Rey 2,Arapahoe,10293 E Iliff Ave,4,5,9,47
Mark Hopkins Elementary,Arapahoe,7171 S Pennsylvania St,1,0,1,55
Mark Twain Elementary,Arapahoe,6901 S Franklin St,0,0,0,56
Marketplace,Douglas,3235 Mill Vista Rd,1,0,1,55
Marriott Denver Airport Hotel,Adams,16455 E 40th Cir,4,7,11,45
Marriott Denver South,Douglas,10345 Park Meadows Dr,6,6,12,44
Marriott Fairfield Inn & Suites Westminster,Adams,12080 Melody Dr,2,2,4,52
Martinezs,Arapahoe,1228 W Littleton Blvd,3,0,3,53
Marys Pescaderia,Adams,3133 Peoria St Unit 203,2,2,4,52
Masalaa,Arapahoe,3140 S Parker Rd Unit 8,4,6,10,46
Masha and The Bear Russian Cafe,Arapahoe,12101 E Iliff Ave Ste M,3,4,7,49
Massinos Pizza and Pasta,Arapahoe,1250 S Buckley Rd Unit A,3,2,5,51
Massinos Pizzeria,Adams,6813 Lowell Blvd,5,2,7,49
Maverik,Adams,11160 E Colorado Blvd,0,0,0,56
Maverik,Adams,8810 Pecos St,2,2,4,52
Maverik,Arapahoe,15510 E 6th Ave,3,0,3,53
Maverik,Arapahoe,22910 E Arapahoe Rd,3,0,3,53
Maverik,Arapahoe,3755 N Chambers Rd,4,1,5,51
Maverik,Douglas,3991 Limelight Ave,3,4,7,49
Maverik 525,Arapahoe,13480 E Mississippi Ave,3,2,5,51
Maverik Store 579,Arapahoe,21800 E Quincy Ave,2,1,3,53
May Farms,Arapahoe,64001 E Highway 36,7,6,13,43
Mc Donalds - Belleview 11360,Arapahoe,5090 S Quebec St,1,3,4,52
McCarthys Sports Bar and Grill,Arapahoe,15350 E Smoky Hill Rd,4,4,8,48
McDonalds,Adams,1191 S 1st St,2,4,6,50
McDonalds,Adams,3151 Airport Blvd,2,4,6,50
McDonalds,Adams,5155 W 72nd Ave,1,3,4,52
McDonalds,Adams,5990 Dahlia St,2,1,3,53
McDonalds,Adams,611 E 120th Ave,3,3,6,50
McDonalds,Adams,7400 Federal Blvd,1,2,3,53
McDonalds,Adams,9190 Federal Blvd,2,5,7,49
McDonalds,Adams,9901 Grant St,2,2,4,52
McDonalds,Arapahoe,1444 S Havana St,0,3,3,53
McDonalds,Arapahoe,19893 E Smoky Hill Rd,4,4,8,48
McDonalds,Arapahoe,3601 S Federal Blvd,1,0,1,55
McDonalds,Arapahoe,5858 S Santa Fe Dr,1,3,4,52
McDonalds,Arapahoe,6101 S Aurora Pkwy,2,1,3,53
McDonalds,Arapahoe,630 W Hampden Ave,2,0,2,54
McDonalds,Arapahoe,6686 S Yosemite Ct,2,1,3,53
McDonalds,Arapahoe,8241 S Holly St,1,5,6,50
McDonalds,Arapahoe,9400 E Hampden Ave,1,1,2,54
McDonalds,Douglas,4999 Factory Shops Blvd,1,4,5,51
McDonalds,Douglas,9160 Crown Crest Blvd,0,1,1,55
McDonalds,Douglas,9235 S Broadway,0,3,3,53
McDonalds #35381,Adams,15251 E 104th Ave,0,1,1,55
McDonalds 13682,Adams,5750 Washington St,1,2,3,53
McDonalds 19091,Arapahoe,10555 E Briarwood Cir,2,5,7,49
McDonalds 20427,Arapahoe,6462 S Parker Rd,0,3,3,53
McDonalds 22588,Arapahoe,18181 E Hampden Ave,1,3,4,52
McDonalds 25575,Arapahoe,2700 W Belleview Ave,0,2,2,54
McDonalds 2878,Adams,8700 Washington St,2,1,3,53
McDonalds 33159,Adams,10400 Belle Creek Blvd,3,0,3,53
McDonalds 37454,Arapahoe,4000 S Parker Rd,1,2,3,53
McDonalds 5369,Adams,895 S Kuner Rd,2,4,6,50
McDonalds 5560,Arapahoe,16891 E Iliff Ave,2,3,5,51
McDonalds 5562,Adams,6050 Parkway Dr,0,3,3,53
McDonalds 6727,Arapahoe,1050 S Chambers Rd,2,1,3,53
McDonalds 7120,Adams,14251 E Colfax Ave,0,3,3,53
McDonalds 7367,Arapahoe,16890 E Quincy Ave,5,2,7,49
McDonalds Lone Tree 21390,Douglas,9800 S Yosemite St,0,0,0,56
McDonalds Quebec 18783,Douglas,8667 S Quebec St,1,0,1,55
McDonalds Restaurant,Adams,10195 Washington St,0,1,1,55
McDonalds Restaurant,Adams,12875 Quebec St,2,7,9,47
McDonalds Restaurant,Adams,2750 W 104th Ave,2,3,5,51
McDonalds Restaurant,Adams,3690 E 104th Ave,3,4,7,49
McDonalds Restaurant,Adams,3994 E 120th Ave,1,7,8,48
McDonalds Restaurant,Adams,599 W 104th Ave,3,5,8,48
McDonalds Restaurant,Arapahoe,12900 E Mississippi Ave,2,1,3,53
McDonalds Restaurant,Arapahoe,14201 E 6th Ave,2,3,5,51
McDonalds Restaurant,Arapahoe,2651 S Parker Rd,2,2,4,52
McDonalds Restaurant,Douglas,10011 Jordan Rd,0,4,4,52
McDonalds Restaurant,Douglas,10950 S Parker Rd,1,3,4,52
McDonalds Restaurant 24890,Adams,2171 W 128th Ave,2,5,7,49
McDonalds Restaurant 31627,Adams,200 W 136th Ave,2,5,7,49
McDonalds Restaurant 34804,Adams,770 W 84th Ave,1,3,4,52
McDonalds Restaurant 37116,Arapahoe,25650 E Arapahoe Rd,3,1,4,52
McDonalds Restaurant BR 2,Adams,2017 Prairie Center Pkwy,2,3,5,51
McDonalds of Castle Rock,Douglas,995 Park St,2,5,7,49
McDonalds of Littleton,Arapahoe,6300 S Broadway,0,1,1,55
McDonalds of Littleton,Arapahoe,8011 S Broadway,1,1,2,54
McDonoughs Restaurant,Arapahoe,10395 E Iliff Ave,3,4,7,49
McElwain Elementary,Adams,1020 Dawson Dr,0,0,0,56
McKinners Pizza Bar,Arapahoe,2389 W Main St,3,3,6,50
Meadow Elementary,Adams,9150 Monroe St,0,1,1,55
Meadow Point Elementary,Arapahoe,17901 E Grand Ave,0,0,0,56
Meadow View Elementary,Douglas,3700 Butterfield Crossing Dr,0,0,0,56
Meadows 12 at the Entertainment Dist,Douglas,9355 Park Meadows Dr,0,0,0,56
Meat Truck Jones BBQ Catering,Arapahoe,15473 E Hampden Ave,1,0,1,55
Medical Center of Aurora North Campus,Arapahoe,700 Potomac St,2,6,8,48
Medical Center of Aurora South Campus,Arapahoe,1501 S Potomac St Dept 800,0,2,2,54
Megenagna Grocery,Arapahoe,306 S Ironton St Unit C,3,3,6,50
Mei Wei,Adams,6075 E Parkway Dr Ste 105,1,2,3,53
Melting Pot The,Arapahoe,2707 W Main St,5,7,12,44
Menchies Frozen Yogurt,Adams,1001 W 120th Ave Ste 110,0,0,0,56
Menchies Frozen Yogurt,Adams,14643 Orchard Pkwy Unit 200,2,3,5,51
Mendozas Juice and Ice Cream Bar,Adams,9265 Washington St,4,3,7,49
Menuderia Y Taqueria Chihuas,Adams,6185 E 72nd Ave,7,2,9,47
Menya Sushi Bar,Arapahoe,5910 S University Blvd Unit B1,5,4,9,47
Mercado Azteca,Adams,9701 Montview Blvd,9,9,18,38
Mercedes Mexican Restaurant,Adams,11165 Irma Dr,1,1,2,54
Mercedes Mexican Restaurant,Adams,6940 Pecos St,3,2,5,51
Mercury Event Center,Adams,3006 W 72nd Ave,3,1,4,52
Meridian Cafe,Douglas,9601 S Meridian Blvd,3,7,10,46
Meridian Golf Course,Douglas,9742 S Meridian Blvd,7,5,12,44
Mesa Elementary,Adams,9100 Lowell Blvd,2,0,2,54
Mesa Middle School,Douglas,365 N Mitchell St,0,1,1,55
Meskerem Restaurant,Arapahoe,1121 S Peoria St,4,8,12,44
Mesquite Grill,Arapahoe,9668 E Arapahoe Rd,5,8,13,43
Metabolic Kitchen,Adams,12348 E Montview Blvd,3,1,4,52
Metapan Restaurante,Adams,11707 E Colfax Ave,7,6,13,43
Metropolitan Bar and Grill,Arapahoe,10111 Inverness Main St Unit H,8,9,17,39
Mi Cocina,Arapahoe,1600 W Belleview Ave,4,2,6,50
Mi Cocina Express,Arapahoe,137 W County Line Rd,7,3,10,46
Mi Pueblo Latin Market,Adams,15855 E Colfax Ave,6,11,17,39
Mi Pueblo Latin Market,Adams,6941 E 80th Ave,13,13,26,30
Mi Pueblo Latin Market,Adams,9171 Washington St,3,3,6,50
Mi Pueblo Ranch Market 8,Adams,6040 E 64th Ave,4,3,7,49
Mi Ranchito Neveria,Adams,11922 Washington St,2,0,2,54
Mias Pizza and Pasta,Arapahoe,8931 E Union Ave,4,0,4,52
Mici Hand Crafted Italian,Douglas,9245 S Broadway Unit 800,2,3,5,51
Mici Italian Restaurant,Douglas,11290 S Twenty Mile Rd Ste 121,2,4,6,50
Mick Mullens,Arapahoe,3467 S Broadway,1,3,4,52
Mickeys Express,Adams,7770 Highway 2,2,1,3,53
Mickeys Top Sirloin,Adams,6950 Broadway,2,8,10,46
Mics Craft Kitchen,Arapahoe,7531 E Iliff Ave,5,6,11,45
Mika Sushi 2,Adams,10343 Federal Blvd Unit H,12,8,20,36
Mikes Cafe,Arapahoe,4110 S Federal Blvd,9,13,22,34
Milano Coffee,Arapahoe,9602 E Arapahoe Rd,2,2,4,52
Mile High Cafe,Douglas,2975 Summer Wind Ln,1,0,1,55
Mile High Catering,Arapahoe,8035 S Quebec St,2,1,3,53
Mile High Flea Market-L Street Bar,Adams,7007 E 88th Ave,0,0,0,56
Mile High Halal,Arapahoe,7950 E Mississippi Ave Unit E,5,2,7,49
Mile High Pizza,Arapahoe,1010 S Peoria St,3,3,6,50
Mile High Pupusas,Arapahoe,2504 W Hampden Ave,3,3,6,50
Mile High Smokehouse,Arapahoe,9555 E Arapahoe Rd Unit 12,4,8,12,44
Milkroll Creamery,Arapahoe,2712 S Havana St Unit A,0,0,0,56
Mimis Cafe,Adams,14416 Delaware St,5,9,14,42
Mimis Cafe,Arapahoe,205 S Abilene St,5,3,8,48
Mimis Cafe,Douglas,9155 Park Meadows Dr,3,3,6,50
Mings Dynasty,Arapahoe,4251 E Mississippi Ave,4,3,7,49
Mini Food Store,Arapahoe,4696 S Federal Blvd,3,1,4,52
Mis Cafe,Arapahoe,17455 E Exposition Dr,5,4,9,47
Misaki at Stanley,Arapahoe,2501 N Dallas St Unit 184,6,5,11,45
Mission Viejo Elementary,Arapahoe,3855 S Alicia Pkwy,0,1,1,55
Mixing Bowl Cookie Dough,Arapahoe,5580 S Parker Rd,0,1,1,55
Miyako Ra-Men Noodle Restaurant,Arapahoe,2950 S Broadway Unit,6,3,9,47
Miyo Cafe,Douglas,858 W Happy Canyon Rd Ste 110,9,8,17,39
Mod Pizza,Arapahoe,23890 Smoky Hill Rd,0,1,1,55
Mod Pizza,Douglas,3622 E Highlands Ranch Pkwy Unit 101,0,3,3,53
Mod Pizza,Douglas,4989 Factory Shops Blvd Unit 240,2,4,6,50
Mod Pizza - 425,Arapahoe,18300 Cottonwood Dr Ste 111,1,1,2,54
Mod Super Fast Pizza,Arapahoe,8225 S Chester St Unit 103,1,2,3,53
Modern Brew,Arapahoe,8221 S Holly St,5,0,5,51
Modern Market,Arapahoe,1000 S Colorado Blvd,0,2,2,54
Modern Market,Arapahoe,3475 S University Blvd,6,3,9,47
Modern Market,Arapahoe,6955 S York St Unit 423,2,1,3,53
Modern Market,Arapahoe,8575 E Arapahoe Rd Unit,0,2,2,54
Modern Market,Douglas,537 W Highlands Ranch Pkwy Unit 108,1,2,3,53
Moes Original Bar B Que,Arapahoe,3295 S Broadway,2,2,4,52
Mojo Ethiopian Coffee and Grocery,Arapahoe,15256 E Hampden Ave,3,4,7,49
Molcajete,Arapahoe,1911 S Havana St,4,5,9,47
Monaco Elementary,Adams,7631 Monaco St,0,2,2,54
Monaco Food Store,Adams,5990 Monaco St,1,0,1,55
Monaghans Bar & Grill,Arapahoe,3889 S King St,6,5,11,45
Mondo Market,Arapahoe,2501 N Dallas St,4,2,6,50
Monk and Mongoose,Douglas,9580 Ridgegate Pkwy,1,4,5,51
Monsoon Restaurant,Arapahoe,24107 E Commons Ave Ste 105,3,3,6,50
Monterey Elementary,Adams,2201 Mcelwain Blvd,0,0,0,56
Montessori Warming Kitchen,Arapahoe,15503 E Mississippi Ave Ste B,0,1,1,55
Montview Elementary,Adams,2055 Moline St,1,1,2,54
Moomoos,Arapahoe,14200 E Alameda Ave,0,0,0,56
Moonshine Bar,Adams,119 N Main St,2,5,7,49
Moose Hill Brighton,Adams,839 S Kuner Rd,1,6,7,49
Mountain Range DECA,Adams,12500 Huron St,0,0,0,56
Mountain Ridge Middle School,Douglas,10590 Mountain Vista Rdg,0,0,0,56
Mountain View Elementary School,Douglas,8502 N Pinery Pkwy,0,0,0,56
Mountain Vista Elementary,Arapahoe,22200 E Radcliff Pkwy,1,0,1,55
Mountain Vista High School,Douglas,10585 Mountain Vista Rdg,1,2,3,53
Movie Tavern,Arapahoe,18605 E Hampden Ave,9,5,14,42
Moze Cafe,Douglas,10375 Park Meadows Dr # 160,2,2,4,52
Mozzy D Stores,Arapahoe,754 Peoria St,2,9,11,45
Mr Donuts,Arapahoe,1704 S Chambers Rd,4,1,5,51
Mr Egg,Adams,7310 Washington St,3,1,4,52
Mr Kim Korean BBQ,Arapahoe,12201 E Mississippi Ave Unit 113,3,3,6,50
Mr Panda Buffet,Arapahoe,2852 S Havana St,4,5,9,47
Mr Pollo,Adams,2961 W 72nd Ave,3,3,6,50
Mr Ramen,Douglas,9328 S Jordan Rd Unit 105,3,0,3,53
Mrachek Middle School,Arapahoe,1955 S Telluride St,0,2,2,54
Mt Fuji Hibachi,Adams,14643 Orchard Pkwy Unit 100,7,6,13,43
Mt Fuji Hibachi & Sushi,Douglas,18260 Lincoln Ave Ste 101,6,6,12,44
Mt Fuji Hibachi Restaurant,Arapahoe,6100 S Main St Unit H101,6,6,12,44
Mt Fuji Japanese Cuisine II Inc,Douglas,4714 Milestone Ln Unit H,6,9,15,41
Munch A Sub,Arapahoe,116 Inverness Dr E Ste 100,2,2,4,52
Murphy Creek Grill,Arapahoe,1700 S Old Tom Morris Rd,5,1,6,50
Murphy Creek K thru 8,Arapahoe,1400 S Old Tom Morris Rd,0,0,0,56
Murphy Express,Adams,8799 Brighton Rd,3,2,5,51
Murphy Express,Douglas,13001 Copperhead Trl,1,0,1,55
Murphy Express 8587,Adams,3470 Tower Rd,4,8,12,44
Murphy Express 8732,Adams,14375 Lincoln St,3,2,5,51
Murphy Oil,Adams,12820 Oneida St,1,2,3,53
Muse Noraebang Cafe,Arapahoe,2222 S Havana St,3,1,4,52
My Cafe,Arapahoe,14200 E Alameda Ave,2,1,3,53
My Cafe,Douglas,2240 Mercantile St Ste 100,3,4,7,49
My Favorite Muffin,Arapahoe,1627 S Havana St,0,3,3,53
My Favorite Muffin and Bagel Cafe,Arapahoe,12201 E Arapahoe Rd Unit B12,3,6,9,47
My Favorite Muffin and Bagel Cafe,Arapahoe,8719 E Dry Creek Rd Unit B,1,4,5,51
My Goods Market 6521,Adams,160 W 104th Ave,3,1,4,52
My Goods Market 6536,Adams,12780 Colorado Blvd,2,7,9,47
My Goods Market 6544,Douglas,9215 E Lincoln Ave,1,3,4,52
My Salad Chop,Arapahoe,12201 E Arapahoe Rd Unit A1,2,2,4,52
NGL Burgers,Arapahoe,382 S Chambers Rd,5,1,6,50
NY Bagel Cafe and Deli,Arapahoe,9555 E Arapahoe Rd Unit 16,10,4,14,42
Naan Curry Grill,Arapahoe,10639 E Briarwood Ave Ste A2,10,9,19,37
Nana African Market,Arapahoe,10223 E Iliff Ave,4,8,12,44
Nancys Cafe,Adams,7120 Federal Blvd,4,6,10,46
Nanuri Prentice Cafe,Arapahoe,8101 E Prentice Ave Ste 250,2,2,4,52
Native Foods Cafe,Arapahoe,680 S Colorado Blvd,2,2,4,52
Natural Grocers by Vitamin Cottage,Adams,11465 Washington St,1,1,2,54
Natural Grocers by Vitamin Cottage,Douglas,1265 Sgt Jon Stiles Dr Ste M,0,3,3,53
Natural Grocers by Vitamin Cottage,Douglas,4510 Trail Boss Dr,2,1,3,53
Natures Table,Arapahoe,7475 S Joliet St,3,5,8,48
Nazar International Market and Deli,Arapahoe,1842 S Parker Rd Unit 6,3,2,5,51
Nekter Juice Bar,Douglas,3620 E Highlands Ranch Pkwy Unit 103,0,0,0,56
Nepali Mountain Kitchen,Arapahoe,10180 E Colfax Ave Ste 180,3,0,3,53
Neveria Jedanys,Arapahoe,12132 E Mississippi Ave,3,2,5,51
Neveria La Unica,Arapahoe,10 S Havana St Unit 119,5,3,8,48
Neveria La Zumba,Adams,110 W 70th Ave,2,1,3,53
Neveria Sabor Latino,Arapahoe,1462 Iola St,7,5,12,44
New America School,Adams,8978 N Washington St,2,2,4,52
New America School,Arapahoe,9125 E 7th Pl Bldg 905,4,2,6,50
New Canton BBQ,Arapahoe,2751 S Parker Rd Unit B,4,6,10,46
New China City,Arapahoe,10300 E Colfax Ave,11,9,20,36
New Day Cafe,Arapahoe,5001 S Parker Rd Ste 115,3,2,5,51
New Dynasty,Douglas,16522 Keystone Blvd Unit A,5,6,11,45
New Indian Cafe,Arapahoe,6886 S Clinton St,9,13,22,34
New Nagoya Hibachi Express,Arapahoe,10761 E Alameda Ave Unit B,6,10,16,40
New York Bakery,Arapahoe,10720 E Iliff Ave,2,3,5,51
Newks Eatery,Douglas,10012 Commons St Unit 100,3,4,7,49
Next Door American Eatery,Adams,14345 Orchard Pkwy,5,2,7,49
Nicks Garden Center Cafe,Arapahoe,2001 S Chambers Rd,1,2,3,53
Nicolos Chicago Style Pizza,Douglas,9463 S University Blvd,6,7,13,43
Night Shift Saloon,Arapahoe,3095 S Peoria St Unit B,7,10,17,39
Nile Ethiopian Restaurant,Arapahoe,1951 S Havana St,9,9,18,38
Nixons Coffee House,Arapahoe,6115 S Santa Fe Dr,2,0,2,54
Nixons Coffee House,Arapahoe,871 Englewood Pkwy,5,5,10,46
Nixtamale Tortilla Bakery,Arapahoe,12028 E Mississippi Ave Unit F2,6,1,7,49
No Cow Cafe,Douglas,206 Fifth St,4,0,4,52
No Nos Cafe,Arapahoe,3005 W County Line Rd,6,5,11,45
No Que No Authentic Mexican Kitchen,Adams,9271 Washington St,7,5,12,44
Nom Nom Asian Grill,Arapahoe,13700 E Colfax Ave Unit I,4,3,7,49
Nonnas Italian Bistro Market & Deli,Arapahoe,11877 E Arapahoe Rd Unit B,5,7,12,44
Noodles & Company,Arapahoe,4590 Leetsdale Dr,0,1,1,55
Noodles & Company 170,Adams,14375 Orchard Pkwy Unit 600,5,2,7,49
Noodles and Company,Adams,10355 Federal Blvd Unit H,1,5,6,50
Noodles and Company,Adams,3450 N Tower Rd,4,4,8,48
Noodles and Company,Arapahoe,10550 E Garden Dr Ste 106,0,2,2,54
Noodles and Company,Arapahoe,12023 E Arapahoe Rd Ste 100,0,1,1,55
Noodles and Company,Arapahoe,13700 E Colfax Ave,1,2,3,53
Noodles and Company,Arapahoe,6200 S Main St Ste 101,1,2,3,53
Noodles and Company,Arapahoe,7301 S Santa Fe Dr Unit 320,0,5,5,51
Noodles and Company,Arapahoe,8000 E Belleview Ave Unit A20,0,0,0,56
Noodles and Company,Douglas,11153 S Parker Rd,1,2,3,53
Noodles and Company,Douglas,1601 Mayberry Dr Ste 104,2,4,6,50
Noodles and Company,Douglas,34 E Allen St Ste 400,1,4,5,51
Noodles and Company,Douglas,9400 Heritage Hills Cir,0,4,4,52
Noodles and Company,Douglas,9563 S University Blvd,1,6,7,49
Noodles and Company 132,Arapahoe,697 W Hampden Ave Unit A,0,1,1,55
Noodles and Company 138,Arapahoe,4261 S Buckley Rd,1,4,5,51
Noodles and Company 139,Arapahoe,2370 E Arapahoe Rd Unit 926,2,4,6,50
Noodles and Company 163,Adams,3824 E 120th Ave # B,2,8,10,46
Noodles and Company 173,Douglas,17051 E Lincoln Ave Unit N,0,2,2,54
Noonans Sports Bar,Arapahoe,13521 E Iliff Ave,3,7,10,46
Nordstrom Espresso Bar,Douglas,8465 Park Meadows Center Dr,2,8,10,46
North Denver Sausage Deli,Adams,7626 N Washington St,4,1,5,51
North Elementary,Adams,89 N Sixth Ave,1,3,4,52
North Middle School,Adams,12095 Montview Blvd,0,2,2,54
North Mor Elementary,Adams,9580 Damon Dr,0,0,0,56
North Suburban Medical Center,Adams,9191 Grant St,2,2,4,52
Northeast Elementary,Adams,1605 Longs Peak St,1,2,3,53
Northeast Elementary,Douglas,6598 N Highway 83,0,3,3,53
Northgate Taphouse and Event Center,Arapahoe,3880 S Lowell Blvd,1,1,2,54
Northglenn American Legion Post 22,Adams,11081 Irma Dr,3,3,6,50
Northglenn Elks Lodge 2438,Adams,10969 Irma Dr,7,3,10,46
Northglenn High School,Adams,601 W 100th Pl,1,1,2,54
Northglenn Middle School,Adams,1123 Muriel Dr,0,0,0,56
Northridge Elementary,Douglas,555 Southpark Rd,0,0,0,56
Northstar Academy,Douglas,16700 Keystone Blvd,1,1,2,54
Northstar Elementary,Adams,8740 Northstar Dr,0,1,1,55
Northwest Aerie Order of Eagles 4019,Adams,8800 Federal Blvd,5,4,9,47
Nothing Bundt Cakes,Arapahoe,23973 E Prospect Ave Ste B,1,1,2,54
Nothing Bundt Cakes,Douglas,7508 Parkway Dr Ste 200,0,1,1,55
Nourish Meals on Wheels,Arapahoe,92 E Arapahoe Rd,2,0,2,54
Nova Catering,Adams,8301 Rosemary St,3,4,7,49
Now Pho II,Arapahoe,1500 W Littleton Blvd Unit 110-A,7,6,13,43
O Briens Cafe,Douglas,5585 Highway 85,5,10,15,41
OPA Grill,Douglas,18366 Lincoln Ave Unit 101,3,5,8,48
Oasis Grill,Arapahoe,15064 E Mississippi Ave,6,4,10,46
Obok Zip,Arapahoe,2720 S Havana St Ste H,2,3,5,51
Ocean Prime,Arapahoe,8000 E Belleview Ave Unit C10,2,2,4,52
Odds on OTB,Adams,5390 Sheridan Blvd,1,0,1,55
Off Broadway Cafe Perfect Setting Catering,Adams,6810 Broadway,4,4,8,48
Office Co The,Douglas,230 3rd St,9,9,18,38
Ohana Cafe,Arapahoe,7951 E Maplewood Ave Ste 123,4,1,5,51
Okinawa Sushi,Adams,11985 Washington St Unit 2,4,3,7,49
Okinawa Sushi,Douglas,9231 E Lincoln Ave Unit 1100,3,4,7,49
Old Blinking Light,Douglas,9344 Dorchester St Ste 104,2,5,7,49
