program_id,county,site_address,foodborne_illness_violations,good_retail_practices_violations,total_violations,inspScore
Arbys 5010028,Arapahoe,161 W Mineral Ave,0,3,3,53
Arbys 5010035,Arapahoe,5685 S Broadway,2,0,2,54
Arbys 5010036,Douglas,9831 S Parker Rd,1,2,3,53
Arbys 5010037,Arapahoe,6626 S Yosemite Ct,2,2,4,52
Arbys 5010038,Douglas,742 Genoa Way,2,2,4,52
Arbys 5010040,Arapahoe,14475 E Arapahoe Rd,5,2,7,49
Arbys 5010043,Arapahoe,1099 S Blackhawk St,5,8,13,43
Arbys 5010044,Arapahoe,4350 S Buckley Rd,2,7,9,47
Arbys 5010045,Arapahoe,2260 S Parker Rd,3,2,5,51
Aris Tavern,Adams,5686 Pecos St,0,1,1,55
Arkansas Elementary,Arapahoe,17301 E Arkansas Ave,1,1,2,54
Armandos Ristorante,Douglas,9355 Crown Crest Blvd,3,4,7,49
Arrowhead Elementary,Arapahoe,19100 E Bates Ave,0,0,0,56
Arrowhead Golf Club,Douglas,10850 Sundown Trl,5,6,11,45
Arrowwood Elementary,Douglas,10345 Arrowwood Dr,0,1,1,55
Artisan Pizza,Douglas,12311 Pine Bluffs Way,1,5,6,50
Asia Inn Restaurant,Adams,479 S 4th Ave,6,10,16,40
Asian Buffet CO Inc,Adams,10695 Melody Dr,6,0,6,50
Asian Island Sushi and Grill,Adams,16566 Washington St,6,6,12,44
Aspen Crossing Elementary,Arapahoe,4655 S Himalaya St,0,2,2,54
Aspen View Academy - Nutrition Services,Douglas,2131 Low Meadow Blvd,0,2,2,54
Assumption School,Adams,2341 E 78th Ave,1,1,2,54
Asti D Italia,Adams,14648 Delaware St Unit 200,5,4,9,47
Asuka Inc,Arapahoe,5131 S Yosemite St,0,0,0,56
At Cheers,Adams,11964 Washington St,0,3,3,53
At Nine Thai,Arapahoe,8101 S Quebec St Unit C,4,0,4,52
Athenian Restaurant,Arapahoe,15350 E Iliff Ave,6,6,12,44
Atlanta Bread Company,Adams,351 W 104th Ave,4,4,8,48
Atlas Coffee,Douglas,8155 Piney River Ave,0,1,1,55
Atrium Cafe,Arapahoe,6061 S Willow Dr,1,0,1,55
Audi Quattro Cafe,Arapahoe,6060 S Broadway,2,3,5,51
August Moon Asian Grill,Douglas,18651 E Mainstreet,5,2,7,49
Aungs Bangkok Cafe,Arapahoe,1225 E Hampden Ave,3,1,4,52
Auntie Annes,Arapahoe,14200 E Alameda Ave Unit 2049A,1,1,2,54
Auntie Annes and Cinnabon,Douglas,5050 Factory Shops Blvd Unit 605,4,5,9,47
Aurora Academy Charter School,Arapahoe,10251 E 1st Ave,0,1,1,55
Aurora Central High School,Arapahoe,11700 E 11th Ave,2,2,4,52
Aurora City Sports Park,Arapahoe,18601 Sports Park Dr,3,2,5,51
Aurora Frontier K thru 8 School,Arapahoe,3200 S Jericho Way,0,0,0,56
Aurora Hills Middle School,Arapahoe,1009 S Uvalda St,0,1,1,55
Aurora Market,Arapahoe,1555 S Havana St Unit A,3,5,8,48
Aurora Mental Health Center,Arapahoe,12455 E Mississippi Ave,0,1,1,55
Aurora Processing Center,Arapahoe,3130 Oakland St,0,2,2,54
Aurora Quest Academy,Arapahoe,17315 E 2nd Ave,0,1,1,55
Aurora West College Preparatory Academy,Arapahoe,10100 E 13th Ave,0,2,2,54
Avalanche Grill,Arapahoe,6901 S Peoria St,3,2,5,51
Ave Maria Catholic School,Douglas,9056 E Parker Rd,1,1,2,54
Aviator Bar and Grill,Adams,5200 Front Range Pkwy,4,2,6,50
Ay Guey Mexican Snacks,Adams,3947 E 120th Ave Ste B,3,5,8,48
B & B Cafe,Douglas,322 Wilcox St,2,9,11,45
BJs Restaurant and Brewhouse,Arapahoe,14442 E Cedar Ave,3,1,4,52
BQ Food and Spirits,Arapahoe,16961 E Quincy Ave Unit C1,3,2,5,51
Babajoons Restaurant,Adams,1005 W 120th Ave Ste 200,2,3,5,51
Babes Restaurant and Lounge,Adams,2265 W 84th Ave,3,4,7,49
Backstreet Tavern & Grill Inc,Arapahoe,1150 S Galena St,3,2,5,51
Bacon Social House,Arapahoe,2100 W Littleton Blvd,7,3,10,46
Bad Daddys Burger Bar,Adams,100 E 120th Ave Unit B120,7,7,14,42
Bad Daddys Burger Bar,Arapahoe,23955 E Plaza Ave Unit G107,3,3,6,50
Bad Daddys Burger Bar,Arapahoe,5380 Greenwood Plaza Blvd Ste 110,0,0,0,56
Bad Daddys Burger Bar 205,Arapahoe,2151 E Briarwood Ave Ste 621,1,4,5,51
Bagel Stop Cafe,Douglas,10401 S Parker Rd Unit 125,0,0,0,56
Bakers Way,Arapahoe,8181 E Arapahoe Rd Unit C,0,0,0,56
Bali Deli,Arapahoe,6455 S Yosemite St Ste 130,3,1,4,52
Bangkok Tokyo Asian Fusion Inc,Arapahoe,6020 S Gun Club Rd,3,8,11,45
Bar Elevate,Adams,2831 W 120th Ave Ste 200,8,8,16,40
Bar Louie,Arapahoe,8000 E Belleview Ave,1,4,5,51
Bar Louie Restaurant and Bar,Arapahoe,6100 S Main St Ste 104,4,4,8,48
Bara Sushi and Thai Asian Cuisine,Arapahoe,8000 E Belleview Ave Unit D50,2,1,3,53
Baris Pizza,Adams,16603 N Washington St,3,6,9,47
Barnacle Cafe,Arapahoe,1225 W Belleview Ave,3,1,4,52
Barnes and Noble Booksellers 2091,Adams,701 E 120th Ave,0,1,1,55
Barnes and Noble Booksellers 2245,Arapahoe,6300 S Main St Ste 101,2,2,4,52
Barwaaqo Restaurant,Arapahoe,10200 E Mississippi Ave Ste B,4,5,9,47
Baskin Robbins,Adams,8424 Federal Blvd,1,7,8,48
Baskin Robbins,Arapahoe,14200 E Alameda Ave Unit 2071A,1,2,3,53
Baskin Robbins,Arapahoe,16861 E Iliff Ave,0,4,4,52
Baskin Robbins PC 348692,Douglas,3626 E Highlands Ranch Pkwy Unit 209 9,0,2,2,54
Bawarchi Biryani Point,Arapahoe,11001 E Arapahoe Pl Unit B1,6,10,16,40
Beantree Coffee,Arapahoe,12101 E Iliff Ave Ste A,1,2,3,53
Bear Canyon Elementary,Douglas,9660 Salford Ln,0,0,0,56
Beau Thai II,Douglas,1341 New Beale St Ste 140,12,14,26,30
Beef Demonstration Center,Arapahoe,9110 E Nichols Ave Ste 300,2,2,4,52
Beirut Grill,Arapahoe,203 W Hampden Ave,12,8,20,36
Bella Sera,Adams,45 N Main St Unit 6,4,7,11,45
