program_id,county,site_address,total_violations
Aramark at Tele -Tech,Douglas,9197 S Peoria St,15
Aramark at Time To Change,Adams,4901 Krameria St,4
Arapahoe Bowling Center,Arapahoe,6850 S Dayton St,13
Arapahoe Cafe,Arapahoe,7325 S Potomac St,3
Arapahoe County Residential Center,Arapahoe,2135 W Chenango Ave,1
Arapahoe High School,Arapahoe,2201 E Dry Creek Rd,0
Arapahoe Justice Center Aramark,Arapahoe,7375 S Potomac St,6
Arapahoe Library District Cafe,Arapahoe,5955 S Holly St,4
Arapahoe Park,Arapahoe,26000 E Quincy Ave,12
Arapahoe Ridge Elementary,Adams,13095 Pecos St,0
Arash Groceries and Deli Inc,Arapahoe,2720 S Parker Rd,7
Arbys - 5010025,Douglas,7455 Park Meadows Dr,6
Arbys - 5010039,Douglas,12245 Lioness Way,2
Arbys 5009013,Adams,15190 Brighton Rd,1
Arbys 5009015,Adams,2133 Prairie Center Pkwy,4
Arbys 5009016,Adams,3903 E 120th Ave,3
Arbys 5009019,Adams,501 E 84th Ave,3
Arbys 5009022,Adams,200 E 144th Ave,9
Arbys 5009023,Adams,850 W 104th Ave,2
Arbys 5009028,Adams,5995 Dexter St,1
Arbys 5009029,Adams,5130 W 92nd Ave,5
Arbys 5009038,Adams,7055 N Federal Blvd,3
Arbys 5010028,Arapahoe,161 W Mineral Ave,3
Arbys 5010035,Arapahoe,5685 S Broadway,2
Arbys 5010036,Douglas,9831 S Parker Rd,3
Arbys 5010037,Arapahoe,6626 S Yosemite Ct,4
Arbys 5010038,Douglas,742 Genoa Way,4
Arbys 5010040,Arapahoe,14475 E Arapahoe Rd,7
Arbys 5010043,Arapahoe,1099 S Blackhawk St,13
Arbys 5010044,Arapahoe,4350 S Buckley Rd,9
Arbys 5010045,Arapahoe,2260 S Parker Rd,5
Aris Tavern,Adams,5686 Pecos St,1
Arkansas Elementary,Arapahoe,17301 E Arkansas Ave,2
Armandos Ristorante,Douglas,9355 Crown Crest Blvd,7
Arrowhead Elementary,Arapahoe,19100 E Bates Ave,0
Arrowhead Golf Club,Douglas,10850 Sundown Trl,11
Arrowwood Elementary,Douglas,10345 Arrowwood Dr,1
Artisan Pizza,Douglas,12311 Pine Bluffs Way,6
Asia Inn Restaurant,Adams,479 S 4th Ave,16
Asian Buffet CO Inc,Adams,10695 Melody Dr,6
Asian Island Sushi and Grill,Adams,16566 Washington St,12
Aspen Crossing Elementary,Arapahoe,4655 S Himalaya St,2
Aspen View Academy - Nutrition Services,Douglas,2131 Low Meadow Blvd,2
Assumption School,Adams,2341 E 78th Ave,2
Asti D Italia,Adams,14648 Delaware St Unit 200,9
Asuka Inc,Arapahoe,5131 S Yosemite St,0
At Cheers,Adams,11964 Washington St,3
At Nine Thai,Arapahoe,8101 S Quebec St Unit C,4
Athenian Restaurant,Arapahoe,15350 E Iliff Ave,12
Atlanta Bread Company,Adams,351 W 104th Ave,8
Atlas Coffee,Douglas,8155 Piney River Ave,1
Atrium Cafe,Arapahoe,6061 S Willow Dr,1
Audi Quattro Cafe,Arapahoe,6060 S Broadway,5
August Moon Asian Grill,Douglas,18651 E Mainstreet,7
Aungs Bangkok Cafe,Arapahoe,1225 E Hampden Ave,4
Auntie Annes,Arapahoe,14200 E Alameda Ave Unit 2049A,2
Auntie Annes and Cinnabon,Douglas,5050 Factory Shops Blvd Unit 605,9
Aurora Academy Charter School,Arapahoe,10251 E 1st Ave,1
Aurora Central High School,Arapahoe,11700 E 11th Ave,4
Aurora City Sports Park,Arapahoe,18601 Sports Park Dr,5
Aurora Frontier K thru 8 School,Arapahoe,3200 S Jericho Way,0
Aurora Hills Middle School,Arapahoe,1009 S Uvalda St,1
Aurora Market,Arapahoe,1555 S Havana St Unit A,8
Aurora Mental Health Center,Arapahoe,12455 E Mississippi Ave,1
Aurora Processing Center,Arapahoe,3130 Oakland St,2
Aurora Quest Academy,Arapahoe,17315 E 2nd Ave,1
Aurora West College Preparatory Academy,Arapahoe,10100 E 13th Ave,2
Avalanche Grill,Arapahoe,6901 S Peoria St,5
Ave Maria Catholic School,Douglas,9056 E Parker Rd,2
Aviator Bar and Grill,Adams,5200 Front Range Pkwy,6
Ay Guey Mexican Snacks,Adams,3947 E 120th Ave Ste B,8
B & B Cafe,Douglas,322 Wilcox St,11
BJs Restaurant and Brewhouse,Arapahoe,14442 E Cedar Ave,4
BQ Food and Spirits,Arapahoe,16961 E Quincy Ave Unit C1,5
Babajoons Restaurant,Adams,1005 W 120th Ave Ste 200,5
Babes Restaurant and Lounge,Adams,2265 W 84th Ave,7
Backstreet Tavern & Grill Inc,Arapahoe,1150 S Galena St,5
Bacon Social House,Arapahoe,2100 W Littleton Blvd,10
Bad Daddys Burger Bar,Adams,100 E 120th Ave Unit B120,14
Bad Daddys Burger Bar,Arapahoe,23955 E Plaza Ave Unit G107,6
Bad Daddys Burger Bar,Arapahoe,5380 Greenwood Plaza Blvd Ste 110,0
Bad Daddys Burger Bar 205,Arapahoe,2151 E Briarwood Ave Ste 621,5
Bagel Stop Cafe,Douglas,10401 S Parker Rd Unit 125,0
Bakers Way,Arapahoe,8181 E Arapahoe Rd Unit C,0
Bali Deli,Arapahoe,6455 S Yosemite St Ste 130,4
Bangkok Tokyo Asian Fusion Inc,Arapahoe,6020 S Gun Club Rd,11
Bar Elevate,Adams,2831 W 120th Ave Ste 200,16
Bar Louie,Arapahoe,8000 E Belleview Ave,5
Bar Louie Restaurant and Bar,Arapahoe,6100 S Main St Ste 104,8
Bara Sushi and Thai Asian Cuisine,Arapahoe,8000 E Belleview Ave Unit D50,3
Baris Pizza,Adams,16603 N Washington St,9
Barnacle Cafe,Arapahoe,1225 W Belleview Ave,4
Barnes and Noble Booksellers 2091,Adams,701 E 120th Ave,1
Barnes and Noble Booksellers 2245,Arapahoe,6300 S Main St Ste 101,4
Barwaaqo Restaurant,Arapahoe,10200 E Mississippi Ave Ste B,9
Baskin Robbins,Adams,8424 Federal Blvd,8
Baskin Robbins,Arapahoe,14200 E Alameda Ave Unit 2071A,3
Baskin Robbins,Arapahoe,16861 E Iliff Ave,4
Baskin Robbins PC 348692,Douglas,3626 E Highlands Ranch Pkwy Unit 209 9,2
Bawarchi Biryani Point,Arapahoe,11001 E Arapahoe Pl Unit B1,16
Beantree Coffee,Arapahoe,12101 E Iliff Ave Ste A,3
Bear Canyon Elementary,Douglas,9660 Salford Ln,0
Beau Thai II,Douglas,1341 New Beale St Ste 140,26
Beef Demonstration Center,Arapahoe,9110 E Nichols Ave Ste 300,4
Beirut Grill,Arapahoe,203 W Hampden Ave,20
Bella Sera,Adams,45 N Main St Unit 6,11
Bella Sera Event Center,Adams,45 Strong St,1
Belle Creek Charter School,Adams,9290 E 107th Ave,3
Belleview Elementary,Arapahoe,4851 S Dayton St,0
Beltrans Meat Market,Adams,11920 Washington St Unit B,12
Ben Franklin Pool - Snack Bar,Arapahoe,1600 E Panama Dr,4
Benders Brat Haus,Arapahoe,700 S Buckley Rd Unit A,7
Benedicts Restaurant,Arapahoe,8181 E Arapahoe Rd Ste A,6
Bennett Elementary,Adams,462 8th St,2
Bennett High School Concession,Adams,505 8th St,8
Bennett Middle School,Adams,455 8th St,0
Bennett Travel Shoppe,Adams,1210 S 1st St,4
Bent Fork American Grill,Arapahoe,12191 E Iliff Ave,7
Bent Noodle,Arapahoe,3055 S Parker Rd Unit A108,6
Berg Haus The,Douglas,7280 Lagae Rd Unit A-111,4
